"","Titans","Giants","Steelers","Panthers","Ravens","Buccaneers","Colts","Vikings","Cardinals","Cowboys","Falcons","Jets","Broncos","Dolphins","Eagles","Bears","Patriots","Redskins","Packers","Chargers","Saints","Texans","Bills","Forty-Niners","Jaguars","Browns","Raiders","Chiefs","Rams","Seahawks","Bengals","Lions"
"Saints",756.708142556799,1882.36710609515,1480.54642592843,1043.99494912107,1606.89815770811,769.07137447768,1147.46508435569,1693.47196884679,2130.63834350003,734.63774582011,683.161930199881,1882.36710609515,1740.57549179103,1063.25941587276,1748.6744728586,1342.78626832271,2156.2408478827,1565.89443635372,1627.63022786442,2579.29375545904,0,514.970767702509,1744.53027545491,3089.01412297483,812.879934443946,1489.3014260223,3073.30982362057,1088.74129383859,965.449228745726,3376.54918412514,1136.8732488653,1514.1656303378
"Texans",1080.63227671002,2289.09021817842,1837.66497156352,1496.4329933728,2019.45267571526,1270.93588530699,1401.55409978921,1710.52006254878,1649.93912453427,376.253919382339,1134.74540333068,2289.09021817842,1420.239040769,1547.14444738887,2161.86505638873,1524.12101630064,2561.80357826732,1982.73212413254,1769.89047189234,2088.73234691231,514.970767702509,0,2076.26226441329,2639.0715642563,1327.39507075499,1802.34173669498,2623.98570392437,1044.69540402013,1104.4213669634,3043.47421578532,1445.00242984679,1789.5469499373
"Bills",1003.79296356932,447.158906224935,278.173621088389,857.987590964263,428.977681469581,1679.10503401534,701.363048746888,1183.76063414535,3078.5856252107,1950.79804699687,1115.27049524228,447.158906224935,2209.3813801248,1874.49433573266,439.654877763817,732.665236910933,621.821171660586,459.261620062532,770.255847711214,3512.89116096429,1744.53027545491,2076.26226441329,0,3701.27161170847,1407.33469812988,278.43925643721,3684.6050473905,1380.146862333,1064.49031478974,3408.68008353414,631.312642098952,352.103805716105
"Forty-Niners",3150.85780896881,4120.64139744673,3634.82622679629,3693.84121435582,3943.61287622241,3848.20747195042,3128.60598672251,2546.01001146742,1025.81678079465,2354.91742199501,3433.0540754687,4120.64139744673,1520.7810466577,4151.43796947551,4050.82005446787,2985.65852360463,4322.82116702988,3932.20226816498,2949.47935562921,727.246368893372,3089.01412297483,2639.0715642563,3701.27161170847,0,3813.32294462165,3478.52600072413,16.8380817297537,2427.10466318022,2801.95111863063,1098.80023986503,3279.51647490626,3358.57053407554
"Jaguars",805.918214808475,1350.62722525828,1135.10707266065,549.970379799831,1095.38015576143,274.287940548303,1126.83474937196,1919.13513442487,2901.57133154077,1487.91482313347,462.152301927455,1350.62722525828,2362.90268503582,504.454950197039,1215.81897554191,1390.01011039661,1602.92512452119,1049.22797174672,1674.07376467819,3357.59784603244,812.879934443946,1327.39507075499,1407.33469812988,3813.32294462165,0,1243.40497269858,3797.03235975802,1520.71360480407,1210.38974371521,3946.95804757115,1010.05356261368,1342.03015940594
"Browns",738.25965075924,642.570848810175,183.987267050045,702.207488481899,496.096404060303,1506.24468186384,423.722949698593,1011.41663391551,2820.5838371084,1672.37867292854,893.685111250674,642.570848810175,1971.84905918086,1734.06329102814,578.665784909624,492.86882580574,866.926661305985,501.93131390054,615.042783976166,3260.09462712259,1489.3014260223,1802.34173669498,278.43925643721,3478.52600072413,1243.40497269858,0,3461.7617017789,1117.26331219942,789.381110529708,3251.08595531925,358.977415618079,144.938917960443
"Raiders",3134.13335939849,4103.88811459251,3618.02349613276,3677.09352921861,3926.79122275168,3832.28526132676,3111.77054297769,2529.61827541799,1012.69288765982,2339.15034021156,3416.48488888615,4103.88811459251,1503.94403737352,4135.65771078623,4034.02248219507,2968.89370036943,4306.16646343913,3915.37282887043,2932.96424164382,719.47060016449,3073.30982362057,2623.98570392437,3684.6050473905,16.8380817297537,3797.03235975802,3461.7617017789,0,2410.28104537853,2785.12815439771,1094.62589526314,3262.67839710421,3341.8509294848
"Chiefs",750.865944787488,1747.05324243541,1245.2470549584,1279.35660957308,1537.61219616962,1655.12442093176,718.956726098622,666.542887314461,1704.03281331421,738.908590403793,1076.21117037472,1747.05324243541,908.110098204603,1970.67056689986,1657.44621258838,659.613476352131,1983.8377469666,1520.74509834438,806.417556757695,2147.36068328683,1088.74129383859,1044.69540402013,1380.146862333,2427.10466318022,1520.71360480407,1117.26331219942,2410.28104537853,0,374.854099277405,2428.15563992617,860.085856929136,1030.40149515974
"Rams",407.791524318082,1397.00527296553,894.782066985304,911.610686622745,1174.10780866679,1382.2864176441,368.734737216924,749.424040907795,2057.58407791714,903.324631905385,750.405758685375,1397.00527296553,1282.71524070714,1688.94457642429,1299.23524498359,420.171056260117,1645.10996509029,1154.49721870697,676.013441790249,2507.02618227062,965.449228745726,1104.4213669634,1064.49031478974,2801.95111863063,1210.38974371521,789.381110529708,2785.12815439771,374.854099277405,0,2768.71604517991,493.729762629079,730.898152510271
"Seahawks",3171.42057188562,3855.18626187781,3430.38618349268,3669.93800241059,3746.82271103859,4059.70082457276,3005.66701225445,2239.69148267043,1777.03659628346,2685.51039706892,3503.85537157388,3855.18626187781,1637.83463798783,4376.99970723939,3821.93302029298,2790.54541418379,3998.52162555155,3749.15251143857,2645.11369031536,1704.46510598501,3376.54918412514,3043.47421578532,3408.68008353414,1098.80023986503,3946.95804757115,3251.08595531925,1094.62589526314,2428.15563992617,2768.71604517991,0,3165.24565523346,3110.80790141192
"Bengals",381.430689222064,909.450746763355,412.863937367348,538.885990602057,680.37805062194,1250.32087821323,159.655783175609,972.889579940367,2551.18275900573,1332.52091884596,593.628499798707,909.450746763355,1758.92828181728,1514.33920782554,806.742247093667,404.204782098955,1166.03385619965,661.323139815788,668.959958948757,3000.6907571614,1136.8732488653,1445.00242984679,631.312642098952,3279.51647490626,1010.05356261368,358.977415618079,3262.67839710421,860.085856929136,493.729762629079,3165.24565523346,0,381.462007244973
"Lions",757.526326287067,764.74710613055,328.914167297993,813.510823448398,638.600051693352,1597.97610062927,388.105609708146,871.449791763815,2726.68430539411,1630.53110098641,961.645273525208,764.74710613055,1860.01799724406,1839.54765363694,713.150305978463,380.783689184516,969.86376352346,646.105472671608,470.919889334183,3160.83551321786,1514.1656303378,1789.5469499373,352.103805716105,3358.57053407554,1342.03015940594,144.938917960443,3341.8509294848,1030.40149515974,730.898152510271,3110.80790141192,381.462007244973,0
